Review_ID,Review_Text,App_Version
1,"Amazon is my place to go 97% of the time when I shop on line. With prime you get ton of perks like free 2-3 day delivery, prime video, music, wardrobe where your allowed 8 clothing articles for free they ship to you in a couple of days, then you have 7 days to try the clothes on, keep & pay for what you like & ship the rest back for free In a pre paid box. Oh I also like that on many items your able to buy insurance, for example I paid under $2 for insurance on a retractabl dog leash!",Unknown
2,it wonderful app,Unknown
3,Amazon is by far my favourite online shopping experience. The app dose exactly what the website dose. Its so easy to browse and use. I am prime customer which is a bonus for anyone with prime as you get so many great benefits with it.,20.4.2.100
4,"I didn't think it could get worse, I was wrong. Does anyone at Amazon pay any attention to these reviews? I don't think so. I hope they know they are losing sales and customers with every change they make. I used to buy a LOT with lightning deals, can't even them now. At this rate, I might as well cancel my prime membership. If Amazon doesn't care what their customers want, why should we give them our money? I can get Walmart+ for less, and they sell almost all the same stuff.",26.23.4.100
5,Love shopping on Amazon,28.16.0.100
6,Thís is my re-review. I didn't get my package on 16. The package is very important to me. The courier sent to other's porch and sent the picture to me. But finally I got it on 17 August morning. Thank you very much for someone in Amazon that want to give an attention about it. GOD bless 🙏,28.15.0.100
7,ممتاز ولكن اتمنى اضافة صور من خلال تقييمات العملاء,Unknown
8,So disappointing! It's the worst online shopping site I have ever experienced Unable to sort by shipping fee I can't notice it's shipping fee isn't tree until proceed cashier and just B4 finishing payment,Unknown
9,App sucks. Way too many pages. When returning items it makes you add a card but it never continues on. Can't return from mobile app. Very frustrating and filled with bugs.,22.17.4.100
10,good,28.20.2.100
11,I think Amazon is one of the best on line shopping for people with needs,30.8.0.100
12,"Sadly, I have had nothing but bad experiences with Amazon delivery and have deleted the app. Deliveries NEVER show up at my correct address. They can't seem to correct this mistake even after hours on the phone with an Amazon rep. Their delivery drivers are awful. After repeated attempts to use the company have failed, i will no longer waste my time or money. AMAZON has been the Worst experience.",20.22.4.100
13,"Best app for shopping i have ever seen ....it's dosen't matter shipping cost more expensive in sri lanka ,but very nice service and good product here....📦📦📦welldone amazon",Unknown
14,O kadar karmakarışık bir uygulama ki gireyim hep beni yuvarlak bir rotada dolandırıyor Ben bir ürünümü teslim almadım ve takip alabiliyorum bu kadar uygulama ile çalıştım bu kadar kötüsünü görmemişim,28.10.0.100
15,"Amazon is a life-saver, especially, during the pandemic. The prices are comparable to local stores and oftentimes even better. The delivery service is excellent, and if you need to return anytime, Amazon makes it easy. Any problem that I have had, and there's only been a couple, were handled quickly. Not only that, you can't beat the variety. To be honest, there is absolutely nothing that I would change about the service. I'd give it more stars if I could.",26.12.0.100
16,They simply have everything I need.,30.9.0.100
17,"Convenient shopping, quality service, add Prime and Amazon is unbeatable.",30.2.0.100
18,It's ok,28.16.0.100
19,"New filter tab is very bad, also search isn't get the intended results. New update, still 0/5 there removed sellers category from filter. (Amazon EG)",Unknown
20,Fantastic 😍,26.23.4.100
21,"Somehow, it changed to Spanish and would NOT let me change back to English. I am highly offended and just deleted the account.",24.8.0.100
22,"I would rate 0 if it was possible. Some random ""account specialist"" decided to block my account for no reason, and I couldn't prove that it's my account for a week, thanks to horrible support. So I'm done trying. I would prefer any other marketplace.",26.23.2.100
23,"Please institute better search filters. I was trying to filter by a specific price and the closest I could get was ""under $25"". By the way the price I was looking for was $6.99 so you can see how these filters are pretty useless in low price searches.",26.23.4.100
24,great transactions and easy shopping for lazy people as myself,28.9.2.100
25,"Recent update adds a ""🔎Amazon"" button to text selection menu across the entire phone. Do not want!",26.23.4.100
26,"Amazon likes to forget to refund charges after returns, and complicate refunds. sometimes lets the seller charge me again after an item was returned. also very annoying reminder on top of the website, with the smallest cancel area possible to get rid of the app download suggestion.",Unknown
27,Great!!!!,30.3.0.100
28,Great delivery,28.13.6.100
29,They have good stuff cheap,28.5.2.100
30,Absolutely love Amazon! There's nothing better for a disabled person...,26.23.0.100
31,Edit. Now it won't add to basket. Rubbish. It won't let me sign into my Google Pixel 4a! Utter twaddle.,28.2.2.100
32,my number one problem is the filters for your orders. there should be a filter for every status. there is no filter to see what has not been delivered. this is different from what hasn't been dispatched. This means you have to scroll through your entire list to see what is available. please add this feature to orders!,30.12.4.100
